#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
582        1        25        1        1,0,0        12.000000
354        2        24        3        3,0,0        12.000000
570        3        19        7        7,0,0        12.000000
363        4        18        9        6,9,0        12.000000
189        5        15        12        5,12,0        12.000000
183        6        4        15        10,15,0        12.000000
345        7        5        18        13,18,0        12.000000
406        7        20        31        26,31,0        12.000000
438        7        32        23        17,23,0        12.000000
12        9        11        28        16,28,0        12.000000
111        9        4        27        20,27,0        12.000000
97        10        11        30        21,30,0        12.000000
252        12        9        36        29,36,0        12.000000
55        13        16        42        33,42,0        12.000000
61        14        1        45        34,45,0        12.000000
220        14        30        47        38,47,0        12.000000
316        15        25        49        40,49,0        12.000000
163        16        20        53        44,53,0        12.000000
328        17        19        55        48,55,0        12.000000
#Threshold 0.200000    25    0    25    0    25    25    25    0    25    25    0    25    25    0    25    25    25    25    0    25    25    0    25    0    0    25    25    25    25    25    25    0    25    25    0    25    0    25    0    25    0    25    0    25    25    0    25    25    25    0    0    0    25    0    25    
#Threshold 0.400000    25    0    18    0    21    15    20    0    17    19    0    23    16    0    22    16    23    16    0    24    25    0    23    0    0    24    25    21    12    25    24    0    17    20    0    8    0    19    0    13    0    17    0    23    19    0    20    13    13    0    0    0    23    0    14    
#Threshold 0.600000    4    0    1    0    0    0    2    0    0    1    0    0    0    0    1    0    2    0    0    0    10    0    2    0    0    5    0    0    0    10    5    0    3    0    0    0    0    0    0    0    0    3    0    0    0    0    1    0    0    0    0    0    0    0    0    
#Threshold 0.800000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
#Macrocel    #Threshold    #Rate[Hz]
1    0.400000    25    
2    -0.000000    0    
3    0.200000    25    
4    -0.000000    0    
5    0.200000    25    
6    0.200000    25    
7    0.200000    25    
8    -0.000000    0    
9    0.200000    25    
10    0.200000    25    
11    -0.000000    0    
12    0.200000    25    
13    0.200000    25    
14    -0.000000    0    
15    0.200000    25    
16    0.200000    25    
17    0.200000    25    
18    0.200000    25    
19    -0.000000    0    
20    0.200000    25    
21    0.400000    25    
22    -0.000000    1    
23    0.200000    25    
24    -0.000000    0    
25    -0.000000    0    
26    0.200000    25    
27    0.400000    23    
28    0.200000    25    
29    0.200000    25    
30    0.400000    25    
31    0.200000    25    
32    -0.000000    0    
33    0.200000    25    
34    0.200000    25    
35    -0.000000    0    
36    0.200000    25    
37    -0.000000    0    
38    0.200000    25    
39    -0.000000    0    
40    0.200000    25    
41    -0.000000    0    
42    0.200000    25    
43    -0.000000    0    
44    0.200000    25    
45    0.200000    25    
46    -0.000000    0    
47    0.200000    25    
48    0.200000    25    
49    0.200000    25    
50    -0.000000    0    
51    -0.000000    0    
52    -0.000000    0    
53    0.200000    25    
54    -0.000000    0    
55    0.200000    25    

#Macrocel    #Threshold    #Rate[Hz]
1    0.430000    24    
2    0.030000    0    
3    0.230000    25    
4    0.030000    0    
5    0.230000    25    
6    0.230000    25    
7    0.230000    25    
8    0.030000    0    
9    0.230000    25    
10    0.230000    25    
11    0.030000    0    
12    0.230000    25    
13    0.230000    25    
14    0.030000    0    
15    0.230000    25    
16    0.230000    25    
17    0.230000    25    
18    0.230000    25    
19    0.030000    0    
20    0.230000    25    
21    0.430000    23    
22    0.030000    0    
23    0.230000    25    
24    0.030000    0    
25    0.030000    0    
26    0.230000    25    
27    0.430000    20    
28    0.230000    25    
29    0.230000    25    
30    0.430000    24    
31    0.230000    25    
32    0.030000    0    
33    0.230000    25    
